"PhotoID","Year","DateUncertain","Catalog Number","Secondary Catalog Number","Manufacturer","Brand","Format","Texture2","Reflectance2","BaseColor2","Weight2","SurfaceDesignation2","Omit_from_Paperbase","LocationBox","LocationBag","Exposure","BackprintingPrimary","ProcessName","Link","AATA_ID"
993670006,"1960",0,264,,"Kodak","Kodabromide","Not exposed - package open","Smooth","Glossy","White","Single Weight","F",0,8,"B",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-2056810246,"1960",1,272,,"Agfa","Brovira","Not exposed - package open","[texture unspecified]","Glossy","White","Single Weight","1",0,7,"B",,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1542789107,"1960",1,273,,"Agfa","Brovira","Not exposed - package open","Crystal","Crystal","White","Double Weight","119",0,132,"C",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1215718462,"1960",1,370,,"Agfa","Brovira","Not exposed - package open","Silk","Semi Glossy","White","Double Weight","117",0,29,"A",,"A01","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1023807570,"1960",1,903,"a","Agfa","Brovira","Sample book","[texture unspecified]","Glossy","White","Single Weight","1",0,4,"19",3,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
834781841,"1960",1,903,"b","Agfa","Brovira","Sample book","Fine Grained","Luster","White","Single Weight","2a",0,4,"19",4,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1662876030,"1960",1,903,"c","Agfa","Brovira","Sample book","[texture unspecified]","Glossy","White","Double Weight","111",0,4,"19",5,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1525101532,"1960",1,903,"d","Agfa","Brovira","Sample book","Smooth","Matte","White","Double Weight","113",0,4,"19",6,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1580975533,"1960",1,903,"e","Agfa","Brovira","Sample book","Silk","Semi Glossy","White","Double Weight","117",0,4,"19",7,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
240856426,"1960",1,903,"f","Agfa","Brovira","Sample book","Crystal","Crystal","White","Double Weight","119",0,4,"19",8,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
961820579,"1960",1,903,"g","Agfa","Record Rapid","Sample book","[texture unspecified]","Glossy","White","Single Weight","1",0,4,"19",9,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1215678040,"1960",1,903,"h","Agfa","Portriga Rapid","Sample book","[texture unspecified]","Glossy","White","Double Weight","111",0,4,"19",10,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1793518967,"1960",1,903,"i","Agfa","Portriga Rapid","Sample book","Smooth","Matte","White","Double Weight","112",0,4,"19",11,"A10","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1268137951,"1960",1,903,"j","Agfa","Portriga Rapid","Sample book","Classic Portrait","Matte","White","Double Weight","114e",0,4,"19",12,"A10","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
